name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_xpblk,first_down,fourth_down_att,fourth_down_conv,fourth_down_failed,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,kicking_all_yds,kicking_downed,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_i20,kicking_rec,kicking_rec_tds,kicking_tot,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_yds,kickret_fair,kickret_oob,kickret_ret,kickret_tds,kickret_touchback,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_incmp,passing_incmp_air_yds,passing_int,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_first_down,penalty_yds,punting_blk,punting_i20,punting_tot,punting_touchback,punting_yds,puntret_downed,puntret_fair,puntret_oob,puntret_tds,puntret_tot,puntret_touchback,puntret_yds,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_first_down,rushing_loss,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds,third_down_att,third_down_conv,third_down_failed,timeout,xp_aborted
R.Sanchez,00-0033269,yes,IND,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,4,3,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Sanders,00-0027685,no,DEN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,7,9,,,,,10,68,,,,,,,,,,,,,
T.Siemian,00-0032156,no,DEN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,42,,4,47,1,2,-10,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.Wilson,00-0033544,yes,IND,CB,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0027874,no,DEN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,21,69,,,,,,,,,,,,,
J.Bostic,00-0030064,yes,IND,LB,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Anderson,00-0029854,no,DEN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,1,,,,,,,30,,,,,,,158,,,,,
C.Geathers,00-0031571,yes,IND,DB,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Mingo,00-0030558,yes,IND,LB,,,,,,,,,,,,,,1,,1.0,-10,,3,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Hunt,00-0030449,yes,IND,DE,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Moore II,00-0033393,yes,IND,CB,3,,,,,,1,,25,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Traylor,00-0033043,no,DEN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Davis,00-0031427,no,DEN,LB,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Gore,00-0023500,yes,IND,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,39,37,10,,,,,,,31,,,,,
B.Williams,00-0029793,yes,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
V.Miller,00-0027940,no,DEN,LB,2,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Brissett,00-0033119,yes,IND,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,69,,13,111,,1,0,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,18,,,,,
D.Stewart,00-0027256,no,DEN,DB,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Harris,00-0028224,no,DEN,DB,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Hilton,00-0029608,yes,IND,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,13,41,,,,,,,,,,,,,
M.Mack,00-0033951,yes,IND,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,14,,,,,
A.Gotsis,00-0033064,no,DEN,DE,2,,,,,,,,,,,,,1,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Harris,00-0031270,no,DEN,DE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Doyle,00-0030181,yes,IND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,,,19,47,,,,,,,,,,,,,
B.Marshall,00-0029620,no,DEN,LB,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Vinatieri,00-0016919,yes,IND,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,84,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Woods,00-0027723,yes,IND,DT,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Morrison,00-0032406,yes,IND,LB,8,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
